Hong Kong,香港,Hong Kong
Macau,澳门,Macau
Beijing,北京市,Beijing
Chongqing,重庆市,Chongqing
Shanghai,上海市,Shanghai
Tianjin,天津市,Tianjin
Anqing,安庆市,Anhui
Bengbu,蚌埠市,Anhui
Bozhou,亳州市,Anhui
Chaohu,巢湖市,Anhui
Chizhou,池州市,Anhui
Chuzhou,滁州市,Anhui
Fuyang,阜阳市,Anhui
Hefei,合肥市,Anhui
Huaibei,淮北市,Anhui
Huainan,淮南市,Anhui
Huangshan,黄山市,Anhui
Jieshou,界首市,Anhui
Lu'an,六安市,Anhui
Ma'anshan,马鞍山市,Anhui
Mingguang,明光市,Anhui
Ningguo,宁国市,Anhui
Qianshan,潜山市,Anhui
Suzhou,宿州市,Anhui
Tianchang,天长市,Anhui
Tongcheng,桐城市,Anhui
Tongling,铜陵市,Anhui
Wuhu,芜湖市,Anhui
Xuancheng,宣城市,Anhui
Fu'an,福安市,Fujian
Fuding,福鼎市,Fujian
Fuqing,福清市,Fujian
Fuzhou,福州市,Fujian
Jian'ou,建瓯市,Fujian
Jinjiang,晋江市,Fujian
Longhai,龙海市,Fujian
Longyan,龙岩市,Fujian
Nan'an,南安市,Fujian
Nanping,南平市,Fujian
Ningde,宁德市,Fujian
Putian,莆田市,Fujian
Quanzhou,泉州市,Fujian
Sanming,三明市,Fujian
Shaowu,邵武市,Fujian
Shishi,石狮市,Fujian
Wuyishan,武夷山市,Fujian
Xiamen,厦门市,Fujian
Yong'an,永安市,Fujian
Zhangping,漳平市,Fujian
Zhangzhou,漳州市,Fujian
Baiyin,白银市,Gansu
Dingxi,定西市,Gansu
Dunhuang,敦煌市,Gansu
Hezuo,合作市,Gansu
Huating,华亭市,Gansu
Jiayuguan,嘉峪关市,Gansu
Jinchang,金昌市,Gansu
Jiuquan,酒泉市,Gansu
Lanzhou,兰州市,Gansu
Linxia,临夏市,Gansu
Longnan,陇南市,Gansu
Pingliang,平凉市,Gansu
Qingyang,庆阳市,Gansu
Tianshui,天水市,Gansu
Wuwei,武威市,Gansu
Yumen,玉门市,Gansu
Zhangye,张掖市,Gansu
Chaozhou,潮州市,Guangdong
Dongguan,东莞市,Guangdong
Enping,恩平市,Guangdong
Foshan,佛山市,Guangdong
Gaozhou,高州市,Guangdong
Guangzhou,广州市,Guangdong
Heshan,鹤山市,Guangdong
Heyuan,河源市,Guangdong
Huazhou,化州市,Guangdong
Huizhou,惠州市,Guangdong
Jiangmen,江门市,Guangdong
Jieyang,揭阳市,Guangdong
Kaiping,开平市,Guangdong
Lechang,乐昌市,Guangdong
Leizhou,雷州市,Guangdong
Lianjiang,廉江市,Guangdong
Lianzhou,连州市,Guangdong
Lufeng,陆丰市,Guangdong
Luoding,罗定市,Guangdong
Maoming,茂名市,Guangdong
Meizhou,梅州市,Guangdong
Nanxiong,南雄市,Guangdong
Puning,普宁市,Guangdong
Qingyuan,清远市,Guangdong
Shantou,汕头市,Guangdong
Shanwei,汕尾市,Guangdong
Shaoguan,韶关市,Guangdong
Shenzhen,深圳市,Guangdong
Sihui,四会市,Guangdong
Taishan,台山市,Guangdong
Wuchuan,吴川市,Guangdong
Xingning,兴宁市,Guangdong
Xinyi,信宜市,Guangdong
Yangchun,阳春市,Guangdong
Yangjiang,阳江市,Guangdong
Yingde,英德市,Guangdong
Yunfu,云浮市,Guangdong
Zhanjiang,湛江市,Guangdong
Zhaoqing,肇庆市,Guangdong
Zhongshan,中山市,Guangdong
Zhuhai,珠海市,Guangdong
Baise,百色市,Guangxi
Beihai,北海市,Guangxi
Beiliu,北流市,Guangxi
Cenxi,岑溪市,Guangxi
Chongzuo,崇左市,Guangxi
Dongxing,东兴市,Guangxi
Fangchenggang,防城港市,Guangxi
Guigang,贵港市,Guangxi
Guilin,桂林市,Guangxi
Guiping,桂平市,Guangxi
Hechi,河池市,Guangxi
Heshan,合山市,Guangxi
Hezhou,贺州市,Guangxi
Jingxi,靖西市,Guangxi
Laibin,来宾市,Guangxi
Lipu,荔浦市,Guangxi
Liuzhou,柳州市,Guangxi
Nanning,南宁市,Guangxi
Pingxiang,凭祥市,Guangxi
Qinzhou,钦州市,Guangxi
Wuzhou,梧州市,Guangxi
Yulin,玉林市,Guangxi
Anshun,安顺市,Guizhou
Bijie,毕节市,Guizhou
Chishui,赤水市,Guizhou
Duyun,都匀市,Guizhou
Fuquan,福泉市,Guizhou
Guiyang,贵阳市,Guizhou
Kaili,凯里市,Guizhou
Liupanshui,六盘水市,Guizhou
Panzhou,盘州市,Guizhou
Qingzhen,清镇市,Guizhou
Renhuai,仁怀市,Guizhou
Tongren,铜仁市,Guizhou
Xingren,兴仁市,Guizhou
Xingyi,兴义市,Guizhou
Zunyi,遵义市,Guizhou
Danzhou,儋州市,Hainan
Dongfang,东方市,Hainan
Haikou,海口市,Hainan
Qionghai,琼海市,Hainan
Sansha,三沙市,Hainan
Sanya,三亚市,Hainan
Wanning,万宁市,Hainan
Wenchang,文昌市,Hainan
Wuzhishan,五指山市,Hainan
Anguo,安国市,Hebei
Baoding,保定市,Hebei
Bazhou,霸州市,Hebei
Botou,泊头市,Hebei
Cangzhou,沧州市,Hebei
Chengde,承德市,Hebei
Dingzhou,定州市,Hebei
Gaobeidian,高碑店市,Hebei
Handan,邯郸市,Hebei
Hengshui,衡水市,Hebei
Hejian,河间市,Hebei
Huanghua,黄骅市,Hebei
Jinzhou,晋州市,Hebei
Langfang,廊坊市,Hebei
Luanzhou,滦州市,Hebei
Nangong,南宫市,Hebei
Pingquan,平泉市,Hebei
Qian'an,迁安市,Hebei
Qinhuangdao,秦皇岛市,Hebei
Renqiu,任丘市,Hebei
Sanhe,三河市,Hebei
Shahe,沙河市,Hebei
Shenzhou,深州市,Hebei
Shijiazhuang,石家庄市,Hebei
Tangshan,唐山市,Hebei
Xinji,辛集市,Hebei
Wu'an,武安市,Hebei
Xingtai,邢台市,Hebei
Xinle,新乐市,Hebei
Zhangjiakou,张家口市,Hebei
Zhuozhou,涿州市,Hebei
Zunhua,遵化市,Hebei
Anda,安达市,Heilongjiang
Bei'an,北安市,Heilongjiang
Daqing,大庆市,Heilongjiang
Dongning,东宁市,Heilongjiang
Fujin,富锦市,Heilongjiang
Fuyuan,抚远市,Heilongjiang
Hailin,海林市,Heilongjiang
Hailun,海伦市,Heilongjiang
Harbin,哈尔滨市,Heilongjiang
Hegang,鹤岗市,Heilongjiang
Heihe,黑河市,Heilongjiang
Hulin,虎林市,Heilongjiang
Jiamusi,佳木斯市,Heilongjiang
Jixi,鸡西市,Heilongjiang
Mishan,密山市,Heilongjiang
Mohe,漠河市,Heilongjiang
Mudanjiang,牡丹江市,Heilongjiang
Muling,穆棱市,Heilongjiang
Nehe,讷河市,Heilongjiang
Ning'an,宁安市,Heilongjiang
Qiqihar,齐齐哈尔市,Heilongjiang
Qitaihe,七台河市,Heilongjiang
Shangzhi,尚志市,Heilongjiang
Shuangyashan,双鸭山市,Heilongjiang
Suifenhe,绥芬河市,Heilongjiang
Suihua,绥化市,Heilongjiang
Tieli,铁力市,Heilongjiang
Tongjiang,同江市,Heilongjiang
Wuchang,五常市,Heilongjiang
Wudalianchi,五大连池市,Heilongjiang
Yichun,伊春市,Heilongjiang
Zhaodong,肇东市,Heilongjiang
Anyang,安阳市,Henan
Changge,长葛市,Henan
Dengfeng,登封市,Henan
Dengzhou,邓州市,Henan
Gongyi,巩义市,Henan
Hebi,鹤壁市,Henan
Huixian,辉县市,Henan
Jiaozuo,焦作市,Henan
Jiyuan,济源市,Henan
Kaifeng,开封市,Henan
Lingbao,灵宝市,Henan
Linzhou,林州市,Henan
Luohe,漯河市,Henan
Luoyang,洛阳市,Henan
Mengzhou,孟州市,Henan
Nanyang,南阳市,Henan
Pingdingshan,平顶山市,Henan
Puyang,濮阳市,Henan
Qinyang,沁阳市,Henan
Ruzhou,汝州市,Henan
Sanmenxia,三门峡市,Henan
Shangqiu,商丘市,Henan
Weihui,卫辉市,Henan
Wugang,舞钢市,Henan
Xiangcheng,项城市,Henan
Xingyang,荥阳市,Henan
Xinmi,新密市,Henan
Xinxiang,新乡市,Henan
Xinyang,信阳市,Henan
Xinzheng,新郑市,Henan
Xuchang,许昌市,Henan
Yanshi,偃师市,Henan
Yima,义马市,Henan
Yongcheng,永城市,Henan
Yuzhou,禹州市,Henan
Zhengzhou,郑州市,Henan
Zhoukou,周口市,Henan
Zhumadian,驻马店市,Henan
Anlu,安陆市,Hubei
Chibi,赤壁市,Hubei
Dangyang,当阳市,Hubei
Danjiangkou,丹江口市,Hubei
Daye,大冶市,Hubei
Enshi,恩施市,Hubei
Ezhou,鄂州市,Hubei
Guangshui,广水市,Hubei
Hanchuan,汉川市,Hubei
Honghu,洪湖市,Hubei
Huanggang,黄冈市,Hubei
Huangshi,黄石市,Hubei
Jingmen,荆门市,Hubei
Jingshan,京山市,Hubei
Jingzhou,荆州市,Hubei
Laohekou,老河口市,Hubei
Lichuan,利川市,Hubei
Macheng,麻城市,Hubei
Qianjiang,潜江市,Hubei
Shishou,石首市,Hubei
Shiyan,十堰市,Hubei
Suizhou,随州市,Hubei
Songzi,松滋市,Hubei
Tianmen,天门市,Hubei
Wuhan,武汉市,Hubei
Wuxue,武穴市,Hubei
Xiangyang,襄阳市,Hubei
Xianning,咸宁市,Hubei
Xiantao,仙桃市,Hubei
Xiaogan,孝感市,Hubei
Yichang,宜昌市,Hubei
Yicheng,宜城市,Hubei
Yidu,宜都市,Hubei
Yingcheng,应城市,Hubei
Zaoyang,枣阳市,Hubei
Zhijiang,枝江市,Hubei
Zhongxiang,钟祥市,Hubei
Changde,常德市,Hunan
Changning,常宁市,Hunan
Changsha,长沙市,Hunan
Chenzhou,郴州市,Hunan
Hengyang,衡阳市,Hunan
Hongjiang,洪江市,Hunan
Huaihua,怀化市,Hunan
Jinshi,津市市,Hunan
Jishou,吉首市,Hunan
Leiyang,耒阳市,Hunan
Lengshuijiang,冷水江市,Hunan
Lianyuan,涟源市,Hunan
Liling,醴陵市,Hunan
Linxiang,临湘市,Hunan
Liuyang,浏阳市,Hunan
Loudi,娄底市,Hunan
Miluo,汨罗市,Hunan
Ningxiang,宁乡市,Hunan
Shaoshan,韶山市,Hunan
Shaoyang,邵阳市,Hunan
Wugang,武冈市,Hunan
Xiangtan,湘潭市,Hunan
Xiangxiang,湘乡市,Hunan
Yiyang,益阳市,Hunan
Yongzhou,永州市,Hunan
Yuanjiang,沅江市,Hunan
Yueyang,岳阳市,Hunan
Zhangjiajie,张家界市,Hunan
Zhuzhou,株洲市,Hunan
Zixing,资兴市,Hunan
Arxan,阿尔山市,Inner Mongolia
Baotou,包头市,Inner Mongolia
Bayannur,巴彦淖尔市,Inner Mongolia
Chifeng,赤峰市,Inner Mongolia
Erenhot,二连浩特市,Inner Mongolia
Ergun,额尔古纳市,Inner Mongolia
Fengzhen,丰镇市,Inner Mongolia
Genhe,根河市,Inner Mongolia
Hohhot,呼和浩特市,Inner Mongolia
Holingol,霍林郭勒市,Inner Mongolia
Hulunbuir,呼伦贝尔市,Inner Mongolia
Manzhouli,满洲里市,Inner Mongolia
Ordos,鄂尔多斯市,Inner Mongolia
Tongliao,通辽市,Inner Mongolia
Ulanhot,乌兰浩特市,Inner Mongolia
Ulanqab,乌兰察布市,Inner Mongolia
Wuhai,乌海市,Inner Mongolia
Xilinhot,锡林浩特市,Inner Mongolia
Yakeshi,牙克石市,Inner Mongolia
Zhalantun,扎兰屯市,Inner Mongolia
Changshu,常熟市,Jiangsu
Changzhou,常州市,Jiangsu
Danyang,丹阳市,Jiangsu
Dongtai,东台市,Jiangsu
Gaoyou,高邮市,Jiangsu
Hai'an,海安市,Jiangsu
Haimen,海门市,Jiangsu
Huai'an,淮安市,Jiangsu
Jiangyin,江阴市,Jiangsu
Jingjiang,靖江市,Jiangsu
Jurong,句容市,Jiangsu
Liyang,溧阳市,Jiangsu
Lianyungang,连云港市,Jiangsu
Kunshan,昆山市,Jiangsu
Nanjing,南京市,Jiangsu
Nantong,南通市,Jiangsu
Pizhou,邳州市,Jiangsu
Qidong,启东市,Jiangsu
Rugao,如皋市,Jiangsu
Suqian,宿迁市,Jiangsu
Suzhou,苏州市,Jiangsu
Taicang,太仓市,Jiangsu
Taixing,泰兴市,Jiangsu
Taizhou,泰州市,Jiangsu
Wuxi,无锡市,Jiangsu
Xinghua,兴化市,Jiangsu
Xinyi,新沂市,Jiangsu
Xuzhou,徐州市,Jiangsu
Yancheng,盐城市,Jiangsu
Yangzhong,扬中市,Jiangsu
Yangzhou,扬州市,Jiangsu
Yixing,宜兴市,Jiangsu
Yizheng,仪征市,Jiangsu
Zhangjiagang,张家港市,Jiangsu
Zhenjiang,镇江市,Jiangsu
Dexing,德兴市,Jiangxi
Fengcheng,丰城市,Jiangxi
Fuzhou,抚州市,Jiangxi
Ganzhou,赣州市,Jiangxi
Gao'an,高安市,Jiangxi
Gongqingcheng,共青城市,Jiangxi
Guixi,贵溪市,Jiangxi
Ji'an,吉安市,Jiangxi
Jingdezhen,景德镇市,Jiangxi
Jinggangshan,井冈山市,Jiangxi
Jiujiang,九江市,Jiangxi
Leping,乐平市,Jiangxi
Lushan,庐山市,Jiangxi
Nanchang,南昌市,Jiangxi
Pingxiang,萍乡市,Jiangxi
Ruichang,瑞昌市,Jiangxi
Ruijin,瑞金市,Jiangxi
Shangrao,上饶市,Jiangxi
Xinyu,新余市,Jiangxi
Yichun,宜春市,Jiangxi
Yingtan,鹰潭市,Jiangxi
Zhangshu,樟树市,Jiangxi
Baicheng,白城市,Jilin
Baishan,白山市,Jilin
Changchun,长春市,Jilin
Da'an,大安市,Jilin
Dehui,德惠市,Jilin
Dunhua,敦化市,Jilin
Fuyu,扶余市,Jilin
Gongzhuling,公主岭市,Jilin
Helong,和龙市,Jilin
Huadian,桦甸市,Jilin
Hunchun,珲春市,Jilin
Ji'an,集安市,Jilin
Jiaohe,蛟河市,Jilin
Jilin,吉林市,Jilin
Liaoyuan,辽源市,Jilin
Linjiang,临江市,Jilin
Longjing,龙井市,Jilin
Meihekou,梅河口市,Jilin
Panshi,磐石市,Jilin
Shuangliao,双辽市,Jilin
Shulan,舒兰市,Jilin
Siping,四平市,Jilin
Songyuan,松原市,Jilin
Taonan,洮南市,Jilin
Tonghua,通化市,Jilin
Tumen,图们市,Jilin
Yanji,延吉市,Jilin
Yushu,榆树市,Jilin
Anshan,鞍山市,Liaoning
Benxi,本溪市,Liaoning
Beipiao,北票市,Liaoning
Beizhen,北镇市,Liaoning
Chaoyang,朝阳市,Liaoning
Dalian,大连市,Liaoning
Dandong,丹东市,Liaoning
Dashiqiao,大石桥市,Liaoning
Dengta,灯塔市,Liaoning
Diaobingshan,调兵山市,Liaoning
Donggang,东港市,Liaoning
Fengcheng,凤城市,Liaoning
Fushun,抚顺市,Liaoning
Fuxin,阜新市,Liaoning
Gaizhou,盖州市,Liaoning
Haicheng,海城市,Liaoning
Huludao,葫芦岛市,Liaoning
Jinzhou,锦州市,Liaoning
Kaiyuan,开原市,Liaoning
Liaoyang,辽阳市,Liaoning
Linghai,凌海市,Liaoning
